work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size
2024,Senior,Full-time,Data Scientist,123740,USD,123740,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Manager,130000,USD,130000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Manager,122500,USD,122500,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,60000,EUR,66666,Spain,In-person,Spain,M
2024,Senior,Full-time,Data Scientist,38000,EUR,42222,Spain,In-person,Spain,M
2024,Senior,Full-time,Data Analyst,133504,USD,133504,United States,In-person,United States,M
2024,Senior,Full-time,Data Analyst,83576,USD,83576,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,160000,USD,160000,United States,Remote,United States,M
2024,Senior,Full-time,Data Scientist,150000,USD,150000,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Scientist,160000,USD,160000,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Scientist,70000,USD,70000,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Scientist,196000,USD,196000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,140000,USD,140000,United States,In-person,United States,M
2024,Senior,Full-time,Data Analyst,140000,USD,140000,United States,In-person,United States,M
2024,Senior,Full-time,Data Analyst,125000,USD,125000,United States,In-person,United States,M
2024,Executive,Full-time,Data Scientist,326000,USD,326000,United States,Remote,United States,M
2024,Executive,Full-time,Data Scientist,237500,USD,237500,United States,Remote,United States,M
2024,Senior,Full-time,Data Engineer,187000,USD,187000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,143800,USD,143800,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,110000,USD,110000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,70000,USD,70000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,160000,USD,160000,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Scientist,70000,USD,70000,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Analyst,113500,USD,113500,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Analyst,96475,USD,96475,United States,Remote,United States,M
2024,Senior,Full-time,Data Engineer,190000,USD,190000,United States,Remote,United States,M
2024,Senior,Full-time,Data Engineer,105301,USD,105301,United States,Remote,United States,M
2024,Senior,Full-time,Data Analyst,164640,USD,164640,United States,In-person,United States,M
2024,Senior,Full-time,Data Analyst,131712,USD,131712,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,170000,USD,170000,United States,Remote,United States,M
2024,Senior,Full-time,Data Scientist,130000,USD,130000,United States,Remote,United States,M
2024,Executive,Full-time,Head of Data,290000,USD,290000,United States,Remote,United States,M
2024,Executive,Full-time,Head of Data,207000,USD,207000,United States,Remote,United States,M
2024,Senior,Full-time,Data Engineer,221000,USD,221000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,185000,USD,185000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,176000,USD,176000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,151000,USD,151000,United States,In-person,United States,M
2024,Senior,Full-time,Data Analyst,164000,USD,164000,Canada,Remote,Canada,M
2024,Senior,Full-time,Data Analyst,115000,USD,115000,Canada,Remote,Canada,M
2024,Senior,Full-time,Data Engineer,165000,USD,165000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,100000,USD,100000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,110000,USD,110000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,95000,USD,95000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,316900,USD,316900,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,181100,USD,181100,United States,In-person,United States,M
2024,Executive,Full-time,Data Scientist,212000,USD,212000,United States,In-person,United States,M
2024,Executive,Full-time,Data Scientist,190000,USD,190000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,212000,USD,212000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,93300,USD,93300,United States,In-person,United States,M
2024,Executive,Full-time,Data Scientist,381500,USD,381500,United States,In-person,United States,M
2024,Executive,Full-time,Data Scientist,221000,USD,221000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Modeler,179000,USD,179000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Modeler,112000,USD,112000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Engineer,110000,USD,110000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Engineer,90000,USD,90000,United States,In-person,United States,M
2024,Senior,Full-time,Data Architect,234000,USD,234000,United States,In-person,United States,M
2024,Senior,Full-time,Data Architect,146000,USD,146000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,234000,USD,234000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,146000,USD,146000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,200000,USD,200000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,175000,USD,175000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,140000,USD,140000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,65000,USD,65000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,72360,EUR,80400,Latvia,In-person,Latvia,M
2024,Mid-level,Full-time,Data Scientist,37440,EUR,41600,Latvia,In-person,Latvia,M
2024,Mid-level,Full-time,Data Analyst,100000,USD,100000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Analyst,70000,USD,70000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,105000,USD,105000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,75000,USD,75000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,126500,USD,126500,United States,Remote,United States,M
2024,Senior,Full-time,Data Scientist,78000,USD,78000,United States,Remote,United States,M
2024,Senior,Full-time,Data Engineer,145000,USD,145000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,120000,USD,120000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,115000,USD,115000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,90000,USD,90000,United States,In-person,United States,M
2024,Senior,Full-time,Data Lead,135000,USD,135000,United States,Remote,United States,M
2024,Senior,Full-time,Data Lead,110000,USD,110000,United States,Remote,United States,M
2024,Senior,Full-time,Data Analyst,140000,USD,140000,United States,In-person,United States,M
2024,Senior,Full-time,Data Analyst,115000,USD,115000,United States,In-person,United States,M
2024,Senior,Full-time,Data Architect,150000,USD,150000,United States,In-person,United States,M
2024,Senior,Full-time,Data Architect,140000,USD,140000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,185000,USD,185000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,120000,USD,120000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,199700,USD,199700,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,165100,USD,165100,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,179000,USD,179000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,112000,USD,112000,United States,In-person,United States,M
2024,Executive,Full-time,Data Engineer,179000,USD,179000,United States,In-person,United States,M
2024,Executive,Full-time,Data Engineer,112000,USD,112000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,170000,USD,170000,United States,Remote,United States,M
2024,Senior,Full-time,Data Scientist,130000,USD,130000,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Analyst,123600,USD,123600,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Analyst,79900,USD,79900,United States,Remote,United States,M
2024,Senior,Full-time,Data Engineer,152375,USD,152375,United States,Remote,United States,M
2024,Senior,Full-time,Data Engineer,94000,USD,94000,United States,Remote,United States,M
2024,Senior,Full-time,Data Scientist,65000,GBP,81250,United Kingdom,Remote,United Kingdom,M
2024,Senior,Full-time,Data Scientist,45000,GBP,56250,United Kingdom,Remote,United Kingdom,M
2024,Mid-level,Full-time,Data Scientist,120000,USD,120000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,94400,USD,94400,United States,In-person,United States,M
2024,Senior,Full-time,Data Analyst,100000,USD,100000,United States,In-person,United States,M
2024,Senior,Full-time,Data Analyst,80000,USD,80000,United States,In-person,United States,M
2024,Senior,Full-time,Data Modeler,179000,USD,179000,United States,In-person,United States,M
2024,Senior,Full-time,Data Modeler,112000,USD,112000,United States,In-person,United States,M
2024,Senior,Full-time,Data Architect,138000,USD,138000,United States,In-person,United States,M
2024,Senior,Full-time,Data Architect,86000,USD,86000,United States,In-person,United States,M
2024,Executive,Full-time,Data Scientist,143297,USD,143297,Canada,In-person,Canada,M
2024,Executive,Full-time,Data Scientist,114638,USD,114638,Canada,In-person,Canada,M
2024,Entry-level,Full-time,Data Analyst,26000,EUR,28888,Spain,In-person,Spain,M
2024,Entry-level,Full-time,Data Analyst,21000,EUR,23333,Spain,In-person,Spain,M
2024,Entry-level,Full-time,Data Analyst,180700,USD,180700,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,97000,USD,97000,United States,In-person,United States,M
2024,Executive,Full-time,Data Scientist,209700,USD,209700,United States,In-person,United States,M
2024,Executive,Full-time,Data Scientist,161300,USD,161300,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,250000,USD,250000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,200000,USD,200000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,83646,USD,83646,Canada,In-person,Canada,M
2024,Entry-level,Full-time,Data Analyst,65407,USD,65407,Canada,In-person,Canada,M
2024,Senior,Full-time,Data Engineer,195000,USD,195000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,160000,USD,160000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,179000,USD,179000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,112000,USD,112000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,169200,USD,169200,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,130100,USD,130100,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,166000,USD,166000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,73100,USD,73100,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,130000,USD,130000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,100000,USD,100000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,184000,USD,184000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,123000,USD,123000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Scientist,144650,USD,144650,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Scientist,86800,USD,86800,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,125000,USD,125000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,97000,USD,97000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Operations Associate,60000,EUR,66666,Germany,In-person,Germany,M
2024,Mid-level,Full-time,Data Operations Associate,50000,EUR,55555,Germany,In-person,Germany,M
2024,Senior,Full-time,Data Scientist,104000,USD,104000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,80000,USD,80000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,294000,USD,294000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,204000,USD,204000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,272400,USD,272400,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,155600,USD,155600,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,184000,USD,184000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,123000,USD,123000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,187000,USD,187000,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Engineer,125000,USD,125000,United States,Remote,United States,M
2024,Senior,Full-time,Data Engineer,144000,USD,144000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,113000,USD,113000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,143500,USD,143500,United States,Remote,United States,M
2024,Senior,Full-time,Data Engineer,77000,USD,77000,United States,Remote,United States,M
2024,Senior,Full-time,Data Developer,88000,USD,88000,Canada,In-person,Canada,M
2024,Senior,Full-time,Data Developer,71000,USD,71000,Canada,In-person,Canada,M
2024,Entry-level,Full-time,Data Specialist,40000,GBP,50000,United Kingdom,In-person,United Kingdom,M
2024,Entry-level,Full-time,Data Specialist,33400,GBP,41750,United Kingdom,In-person,United Kingdom,M
2024,Senior,Full-time,Data Engineer,190000,USD,190000,United States,Remote,United States,M
2024,Senior,Full-time,Data Engineer,135000,USD,135000,United States,Remote,United States,M
2024,Senior,Full-time,Data Engineer,55000,GBP,68750,United Kingdom,Remote,United Kingdom,M
2024,Senior,Full-time,Data Engineer,52000,GBP,65000,United Kingdom,Remote,United Kingdom,M
2024,Mid-level,Full-time,Data Engineer,148100,USD,148100,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Engineer,98700,USD,98700,United States,Remote,United States,M
2024,Senior,Full-time,Data Scientist,140032,USD,140032,United States,Remote,United States,M
2024,Senior,Full-time,Data Scientist,100022,USD,100022,United States,Remote,United States,M
2024,Executive,Full-time,Data Engineer,219650,USD,219650,United States,Remote,United States,M
2024,Executive,Full-time,Data Engineer,136000,USD,136000,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Scientist,148100,USD,148100,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Scientist,98700,USD,98700,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Engineer,145500,USD,145500,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,93000,USD,93000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,85000,USD,85000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,75000,USD,75000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,105000,USD,105000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,70000,USD,70000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,204662,USD,204662,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,184662,USD,184662,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,179000,USD,179000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,112000,USD,112000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,115000,USD,115000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,85000,USD,85000,United States,In-person,United States,M
2024,Executive,Full-time,Data Scientist,225000,USD,225000,United States,In-person,United States,M
2024,Executive,Full-time,Data Scientist,180000,USD,180000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,195500,USD,195500,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,68000,USD,68000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,120000,USD,120000,United States,Remote,United States,M
2024,Senior,Full-time,Data Scientist,90000,USD,90000,United States,Remote,United States,M
2024,Senior,Full-time,Data Scientist,242000,USD,242000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,106200,USD,106200,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,171210,USD,171210,Canada,Remote,Canada,M
2024,Senior,Full-time,Data Engineer,92190,USD,92190,Canada,Remote,Canada,M
2024,Mid-level,Full-time,Data Scientist,246000,USD,246000,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Scientist,190000,USD,190000,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Engineer,165000,USD,165000,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Engineer,129600,USD,129600,United States,Remote,United States,M
2024,Senior,Full-time,Data Analyst,175520,USD,175520,United States,In-person,United States,M
2024,Senior,Full-time,Data Analyst,103786,USD,103786,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,195000,USD,195000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,146900,USD,146900,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,170400,USD,170400,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Scientist,106500,USD,106500,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Specialist,51284,GBP,64105,United Kingdom,In-person,United Kingdom,M
2024,Mid-level,Full-time,Data Specialist,41027,GBP,51283,United Kingdom,In-person,United Kingdom,M
2024,Mid-level,Full-time,Data Analyst,134500,USD,134500,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Analyst,100000,USD,100000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,159000,USD,159000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,111300,USD,111300,United States,In-person,United States,M
2024,Executive,Full-time,Data Scientist,323700,USD,323700,United States,Remote,United States,M
2024,Executive,Full-time,Data Scientist,190500,USD,190500,United States,Remote,United States,M
2024,Senior,Full-time,Data Scientist,218000,USD,218000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,145000,USD,145000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,179000,USD,179000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,106500,USD,106500,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,212800,USD,212800,United States,In-person,United States,L
2024,Mid-level,Full-time,Data Scientist,111600,USD,111600,United States,In-person,United States,L
2024,Executive,Full-time,Data Scientist,260000,USD,260000,United States,Hybrid,United States,L
2024,Executive,Full-time,Data Scientist,246100,USD,246100,United States,In-person,United States,M
2024,Executive,Full-time,Data Scientist,181900,USD,181900,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,133000,USD,133000,Australia,In-person,Australia,M
2024,Mid-level,Full-time,Data Engineer,58300,USD,58300,Australia,In-person,Australia,M
2024,Mid-level,Full-time,Data Scientist,137930,USD,137930,Canada,In-person,Canada,M
2024,Mid-level,Full-time,Data Scientist,74270,USD,74270,Canada,In-person,Canada,M
2024,Senior,Full-time,Data Scientist,258720,USD,258720,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,160000,USD,160000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Quality Analyst,85000,USD,85000,Lebanon,In-person,Lebanon,M
2024,Entry-level,Full-time,Data Quality Analyst,58500,USD,58500,Lebanon,In-person,Lebanon,M
2024,Senior,Full-time,Data Engineer,205000,USD,205000,United States,Remote,United States,M
2024,Senior,Full-time,Data Engineer,165000,USD,165000,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Scientist,250000,USD,250000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,131600,USD,131600,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,240000,USD,240000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,187000,USD,187000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,134600,USD,134600,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,103000,USD,103000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,385000,USD,385000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,245000,USD,245000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,385000,USD,385000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,245000,USD,245000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,214300,USD,214300,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,108500,USD,108500,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Specialist,80000,USD,80000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Specialist,73000,USD,73000,United States,In-person,United States,M
2024,Senior,Full-time,Data Architect,175000,USD,175000,United States,Remote,United States,M
2024,Senior,Full-time,Data Architect,125000,USD,125000,United States,Remote,United States,M
2024,Executive,Full-time,Data Scientist,175762,USD,175762,United States,In-person,United States,M
2024,Executive,Full-time,Data Scientist,97254,USD,97254,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,198800,USD,198800,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,90700,USD,90700,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,145000,USD,145000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,115000,USD,115000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,269100,USD,269100,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,131300,USD,131300,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,99900,USD,99900,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,83000,USD,83000,United States,In-person,United States,M
2024,Senior,Full-time,Data Architect,178600,USD,178600,United States,In-person,United States,M
2024,Senior,Full-time,Data Architect,67200,USD,67200,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Visualization Specialist,170200,USD,170200,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Visualization Specialist,83900,USD,83900,United States,In-person,United States,M
2024,Senior,Full-time,Data Analyst,169000,USD,169000,United States,Remote,United States,M
2024,Senior,Full-time,Data Analyst,120000,USD,120000,United States,Remote,United States,M
2024,Senior,Full-time,Data Scientist,225000,USD,225000,Canada,In-person,Canada,M
2024,Senior,Full-time,Data Scientist,153000,USD,153000,Canada,In-person,Canada,M
2024,Mid-level,Full-time,Data Scientist,170200,USD,170200,United States,In-person,United States,M
